#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
228.447921,0.000190,206.644334,121.864852,121.864852,1375.316672
227.976675,0.000293,215.322959,115.798762,115.798762,1157.011095
239.345914,0.000274,221.847600,142.190918,142.190918,1232.086524
257.444148,0.000296,242.708618,130.588246,130.588246,1423.898539
283.950754,0.000456,275.512102,125.012902,125.012902,1406.195394
366.471099,0.000195,363.759103,122.336751,122.336751,1513.363545
325.087185,0.000189,334.864485,117.725213,117.725213,1444.122297
302.322424,0.000320,280.895343,122.741448,122.741448,1417.588844
354.028556,0.000188,375.343532,125.023646,125.023646,1548.160285
297.818377,0.000301,284.581085,125.435194,125.435194,1422.671164
382.716180,0.000283,392.738351,124.041098,124.041098,1626.965460
421.491914,0.000249,449.671893,125.855853,125.855853,1719.082736
306.525914,0.000250,305.314585,128.833340,128.833340,1498.370629
266.955708,0.000235,258.119715,124.639005,124.639005,1403.832252
261.233247,0.000321,239.764793,131.378577,131.378577,1392.286275
242.533203,0.000196,227.509172,121.329896,121.329896,1372.299476
235.393991,0.000333,217.275241,124.425563,124.425563,1372.607522
239.160616,0.000330,217.708438,126.083876,126.083876,1383.491761
210.076105,0.000245,195.016092,132.503243,132.503243,1364.308087
184.720713,0.000227,180.682702,124.092198,124.092198,1225.392730
207.078635,0.000530,195.598781,147.411681,147.411681,1271.536821
209.001662,0.000333,202.860902,135.177598,135.177598,1351.972072
261.491025,0.000406,236.401717,124.910680,124.910680,1466.146746
266.782809,0.000291,256.040577,130.253148,130.253148,1503.483031
278.131924,0.000490,260.332119,129.815358,129.815358,1534.657467
237.225398,0.000358,228.618718,134.519629,134.519629,1474.829106
362.103849,0.000391,366.339211,134.851898,134.851898,1710.771679
419.048630,0.000275,410.948948,134.955728,134.955728,1819.202975
661.657891,0.000484,482.287284,135.213293,135.213293,2160.638432
522.013454,0.000214,517.245344,153.340606,153.340606,1890.732111
457.657736,0.000174,481.862068,137.949949,137.949949,1804.776038
503.120054,0.000320,499.438820,142.242395,142.242395,2058.770031
421.190299,0.000205,432.650984,148.635705,148.635705,2043.345095
368.926886,0.000444,375.625965,140.748362,140.748362,1793.465319
360.008250,0.000358,379.836269,145.079435,145.079435,1803.892418
332.052614,0.000290,355.081372,142.209645,142.209645,1762.729763
314.193969,0.000235,308.687834,141.456095,141.456095,1712.265883
294.797720,0.000333,292.064748,139.442137,139.442137,1625.964521
310.477330,0.000262,302.591957,142.130567,142.130567,1640.499438
318.465111,0.000294,306.797944,139.671109,139.671109,1679.117253
325.817747,0.000318,329.931965,138.994712,138.994712,1680.083297
330.503454,0.000353,322.650529,139.667259,139.667259,1747.344230
337.133749,0.000232,372.866597,161.655651,161.655651,1885.847525
386.103396,0.000323,388.827058,158.045726,158.045726,2046.735788
480.279070,0.000189,477.059120,150.881455,150.881455,2155.019755
424.190494,0.000312,446.314814,193.682180,193.682180,2115.402020
579.767586,0.000278,573.888824,148.000319,148.000319,2168.974474
395.040014,0.000314,389.391133,150.812276,150.812276,2035.494020
390.855000,0.000447,406.683540,150.539860,150.539860,2085.895720
