#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,460.009908,0.000000,0.000000,71.455127,30.653863,0.294677,574.102605
0.000000,0.000000,486.060575,0.000000,0.000000,72.172743,29.685594,0.066844,595.731629
0.000000,0.000000,460.569571,0.000000,0.000000,72.147438,26.881531,0.300710,564.197490
0.000000,0.000000,462.698792,0.000000,0.000000,73.189742,26.711155,0.044956,566.710297
0.000000,0.000000,488.422323,0.000000,0.000000,77.525940,27.974320,0.308378,591.737851
0.000000,0.000000,496.240250,0.000000,0.000000,75.406708,25.737195,0.064668,600.669310
0.000000,0.000000,464.498711,0.000000,0.000000,71.103872,25.045974,0.274868,568.320119
0.000000,0.000000,461.617768,0.000000,0.000000,70.580275,25.179658,0.287007,562.978610
0.000000,0.000000,467.927879,0.000000,0.000000,68.439429,24.760348,0.254783,569.503151
0.000000,0.000000,464.741788,0.000000,0.000000,68.669420,32.953384,0.273940,572.300526
0.000000,0.000000,467.146320,0.000000,0.000000,77.782734,30.579374,0.327709,570.129025
0.000000,0.000000,465.040185,0.000000,0.000000,75.432554,26.164560,0.322413,563.157804
0.000000,0.000000,465.812244,0.000000,0.000000,72.019275,29.616539,0.311337,563.508996
0.000000,0.000000,465.884111,0.000000,0.000000,73.794600,29.236755,0.288713,561.056394
0.000000,0.000000,494.683582,0.000000,0.000000,76.519857,28.458426,0.319678,598.433905
0.000000,0.000000,462.210500,0.000000,0.000000,77.629753,30.992789,0.285178,572.673971
0.000000,0.000000,483.097279,0.000000,0.000000,80.644036,29.294754,0.377349,587.103933
0.000000,0.000000,505.372384,0.000000,0.000000,75.977957,28.738319,0.300076,609.010387
0.000000,0.000000,489.820530,0.000000,0.000000,73.318351,29.838620,0.322007,594.906423
0.000000,0.000000,494.470306,0.000000,0.000000,73.722525,34.655280,0.310305,602.044927
0.000000,0.000000,460.182600,0.000000,0.000000,74.569145,39.016187,0.049390,570.914234
0.000000,0.000000,466.902131,0.000000,0.000000,79.004432,35.145121,0.348158,579.332579
0.000000,0.000000,462.175342,0.000000,0.000000,75.055059,34.547276,0.064984,568.914074
0.000000,0.000000,475.523878,0.000000,0.000000,73.100989,36.106134,0.515626,582.776047
0.000000,0.000000,501.589579,0.000000,0.000000,76.800561,35.682643,0.067560,626.300163
0.000000,0.000000,469.536531,0.000000,0.000000,81.065509,33.760386,0.288961,585.175863
0.000000,0.000000,460.451769,0.000000,0.000000,77.491090,36.903593,0.096725,576.918912
0.000000,0.000000,494.980586,0.000000,0.000000,79.431027,36.475845,0.318284,606.656904
0.000000,0.000000,480.837689,0.000000,0.000000,82.262787,46.614491,0.080211,593.796885
0.000000,0.000000,481.976688,0.000000,0.000000,77.527438,34.262741,0.331566,596.941733
0.000000,0.000000,460.267199,0.000000,0.000000,80.502381,45.847718,0.082409,577.404459
0.000000,0.000000,465.139561,0.000000,0.000000,81.814959,40.884323,0.382987,581.855503
0.000000,0.000000,458.657130,0.000000,0.000000,84.676368,57.521481,0.103703,577.241866
0.000000,0.000000,462.191850,0.000000,0.000000,84.073744,35.398187,0.295128,593.353763
0.000000,0.000000,461.382630,0.000000,0.000000,91.738641,49.373523,0.110961,575.676550
0.000000,0.000000,672.272694,0.000000,0.000000,94.309306,44.148767,0.355478,801.285086
0.000000,0.000000,463.910247,0.000000,0.000000,82.858489,42.000917,0.124295,589.700797
0.000000,0.000000,482.420401,0.000000,0.000000,84.049806,47.098967,0.313628,627.227933
0.000000,0.000000,464.288551,0.000000,0.000000,89.534740,47.830882,0.151577,586.089975
0.000000,0.000000,488.762646,0.000000,0.000000,86.884699,58.190881,0.357945,632.457190
0.000000,0.000000,476.963914,0.000000,0.000000,86.842623,38.502921,0.078123,617.918593
0.000000,0.000000,465.699221,0.000000,0.000000,91.927582,40.456712,0.365494,593.104314
0.000000,0.000000,486.101521,0.000000,0.000000,98.129993,43.424540,0.233772,620.286846
