#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.226873,0.000083,1.968250,0.309884,0.309884,7.620206
1.180182,0.000261,1.693088,0.304215,0.304215,7.086229
1.146397,0.000082,2.149063,0.484248,0.484248,8.296929
1.410313,0.000075,1.780846,0.299380,0.299380,7.423057
1.303038,0.000153,2.972615,0.347368,0.347368,9.109790
1.028709,0.000160,1.874407,0.290032,0.290032,7.061676
1.164398,0.000123,2.080190,0.310644,0.310644,8.614486
1.552860,0.000113,3.115069,0.515001,0.515001,12.010404
1.130266,0.000218,1.963661,0.298626,0.298626,7.362799
1.215688,0.000157,2.551534,0.291262,0.291262,7.974963
1.132495,0.000102,2.127324,0.358713,0.358713,8.177227
1.288584,0.000104,2.067216,0.346312,0.346312,8.982240
1.329856,0.000073,4.452373,0.299038,0.299038,10.257598
1.291423,0.000059,2.130983,0.299171,0.299171,8.367304
0.968613,0.000067,2.229886,0.334830,0.334830,8.272313
1.441312,0.000141,2.743436,0.443410,0.443410,10.257683
1.205596,0.000100,2.590157,0.375846,0.375846,8.990604
1.364308,0.000141,2.048387,0.279799,0.279799,7.765972
1.173041,0.000108,3.817126,0.468189,0.468189,11.217321
1.354345,0.002251,2.238865,0.327848,0.327848,10.289918
1.559684,0.000096,3.360620,0.515482,0.515482,10.097412
1.872797,0.000175,5.943418,0.303849,0.303849,12.276075
1.364642,0.000088,3.236998,0.414249,0.414249,9.421448
1.067851,0.000066,2.086269,0.295966,0.295966,7.660320
1.363485,0.000099,2.472018,0.416307,0.416307,10.007063
1.222657,0.000064,2.456569,0.349954,0.349954,8.900081
1.147066,0.000085,2.124149,0.332488,0.332488,8.923244
1.142059,0.000081,3.054403,0.345599,0.345599,9.097075
1.203324,0.000131,6.514154,0.305384,0.305384,12.879147
1.260759,0.000150,5.447025,0.335227,0.335227,12.084653
0.643295,0.000074,1.554750,0.279304,0.279304,6.159674
0.785565,0.000112,2.345880,0.259352,0.259352,7.680455
0.556246,0.000087,1.050910,0.247076,0.247076,5.317116
0.648418,0.000095,4.467108,0.341496,0.341496,10.204680
0.520879,0.000121,1.216518,0.245129,0.245129,6.110395
0.602212,0.000103,1.269079,0.287638,0.287638,6.362114
0.304477,0.000072,0.763794,0.237226,0.237226,4.960082
0.483378,0.000095,1.135266,0.289881,0.289881,5.470976
0.690842,0.000128,1.664633,0.409586,0.409586,6.958229
0.534200,0.000085,1.338709,0.382358,0.382358,6.705802
0.376542,0.000081,1.016037,0.264107,0.264107,5.406941
1.705776,0.000567,1.693486,0.268723,0.268723,7.297659
2.060874,0.000083,2.912902,0.346841,0.346841,10.980568
0.905560,0.000094,1.607629,0.295760,0.295760,6.208153
1.149233,0.000171,7.663946,0.253484,0.253484,12.923579
0.750780,0.000161,4.196195,0.313985,0.313985,8.854825
0.958783,0.000078,2.975116,0.289985,0.289985,8.185051
1.269230,0.000086,4.666019,0.345889,0.345889,11.334534
1.324500,0.000103,2.385245,0.317171,0.317171,7.699366
1.303056,0.000089,4.381496,0.286825,0.286825,9.458577
1.437743,0.000097,2.971529,0.329291,0.329291,9.571257
1.159675,0.000156,2.669601,0.269767,0.269767,7.994430
1.177121,0.000159,6.411928,0.303425,0.303425,12.627855
1.741895,0.000091,5.420286,0.316539,0.316539,12.604109
1.196768,0.000083,2.518344,0.393604,0.393604,7.891671
1.277329,0.000078,2.697941,0.325877,0.325877,8.984939
1.586894,0.000092,3.018400,0.389009,0.389009,9.982529
1.617348,0.000097,4.402957,0.369802,0.369802,11.320363
1.157548,0.000094,5.123127,0.270253,0.270253,10.585211
1.175180,0.000110,2.708585,0.271092,0.271092,8.639495
1.046085,0.000087,4.233768,0.254417,0.254417,9.144396
0.824498,0.000077,2.094055,0.348151,0.348151,6.897485
0.966008,0.000074,2.141307,0.261896,0.261896,6.970052
0.900979,0.000113,2.341190,0.243468,0.243468,6.684837
0.824295,0.000099,1.884665,0.329174,0.329174,6.734059
0.806186,0.000074,1.495560,0.233025,0.233025,5.548070
0.740565,0.000110,4.974309,0.268460,0.268460,9.822580
0.860957,0.000069,1.758084,0.256085,0.256085,6.280982
0.835884,0.000098,5.212015,0.229989,0.229989,10.741189
1.111406,0.000126,2.100936,0.234994,0.234994,7.186360
1.387390,0.000359,2.578064,0.338541,0.338541,7.442551
1.048235,0.000097,4.070579,0.233713,0.233713,8.807514
1.150559,0.000230,2.206423,0.249946,0.249946,6.840641
1.253142,0.000069,2.492314,0.345122,0.345122,7.639793
1.004315,0.000067,2.263824,0.237046,0.237046,6.702462
1.098650,0.000070,2.464664,0.244962,0.244962,7.276367
1.568991,0.000106,4.075662,0.357428,0.357428,9.893481
1.090221,0.000079,2.229493,0.256848,0.256848,7.149153
1.064587,0.000096,2.716531,0.355322,0.355322,8.131613
1.089699,0.000092,4.257622,0.249050,0.249050,9.714733
0.934097,0.000070,2.271386,0.240984,0.240984,6.869923
0.979405,0.000067,2.649594,0.305106,0.305106,7.110364
0.939475,0.000118,5.701552,0.275873,0.275873,10.844242
1.016341,0.000099,6.206752,0.241686,0.241686,10.498722
0.973284,0.000072,1.788770,0.236660,0.236660,6.140196
1.224640,0.000116,2.403741,0.332844,0.332844,8.026951
0.939085,0.000136,1.927811,0.234146,0.234146,6.629167
0.929576,0.000068,2.090069,0.257258,0.257258,6.302422
0.721146,0.000144,1.382283,0.217253,0.217253,6.581218
1.028393,0.000084,2.312658,0.312369,0.312369,7.201779
0.953683,0.000116,2.123811,0.305639,0.305639,7.284958
0.841561,0.000079,2.195603,0.336950,0.336950,7.185450
