#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
26.973258,1.599805,671.359541,5.197626,5.197626,861.829645
2.855415,1.224995,592.139380,2.970328,2.970328,660.098462
25.410522,1.787080,579.928023,1.679371,1.679371,664.606134
30.577361,1.170630,603.993713,4.330407,4.330407,867.567477
23.409089,2.517317,574.550023,2.359913,2.359913,658.654903
4.360204,2.018832,569.886765,1.853836,1.853836,635.296138
5.643990,1.687799,577.112574,3.360044,3.360044,649.423042
5.692364,1.838021,562.343299,24.200319,24.200319,818.867958
3.205428,1.419928,519.064506,1.711964,1.711964,563.741235
5.090068,1.034909,601.241634,2.494510,2.494510,661.515878
30.996266,0.744052,569.260982,4.528094,4.528094,669.553705
2.912790,1.636017,744.022392,28.095859,28.095859,931.717798
2.696405,1.486768,560.996141,2.071945,2.071945,613.329547
30.472209,0.844395,540.336533,2.633359,2.633359,636.753772
5.048230,1.245133,473.225058,2.106103,2.106103,540.735214
4.903773,1.496389,520.031606,1.735513,1.735513,572.050288
5.424889,0.736587,538.656256,1.695465,1.695465,586.639287
27.794897,1.055014,409.396140,2.516120,2.516120,506.505064
5.234031,1.101011,564.076622,3.562055,3.562055,640.332441
6.118895,0.894866,386.007088,26.367654,26.367654,492.013624
6.107112,0.855199,550.975559,4.029762,4.029762,666.402083
7.863145,1.701202,586.575770,4.000917,4.000917,660.288046
4.353885,0.983717,435.314940,3.108788,3.108788,522.697603
6.495160,1.323456,486.714578,30.353113,30.353113,609.831632
30.580474,1.575924,357.091958,3.712307,3.712307,479.697009
6.649983,0.964329,337.807535,4.268738,4.268738,471.934093
8.234545,1.371360,372.803090,5.402427,5.402427,485.231182
4.837539,0.943764,297.956160,3.327455,3.327455,390.716788
9.010337,0.896768,399.619173,31.682690,31.682690,558.885900
8.964813,0.800247,337.643854,25.929615,25.929615,502.866664
9.639873,1.052367,482.842173,10.000795,10.000795,659.162908
6.525020,0.789244,490.343518,8.192917,8.192917,680.955290
7.348153,1.112749,447.702721,9.200546,9.200546,632.389867
8.011627,0.778526,381.127876,5.249387,5.249387,564.299579
6.715983,1.249854,409.882312,7.216370,7.216370,597.474890
8.754716,1.411263,295.491020,32.322712,32.322712,501.891239
9.157199,0.972227,295.530282,6.882442,6.882442,474.663195
8.267590,0.645768,305.683345,8.870686,8.870686,479.356124
9.057339,0.592539,324.785745,6.910126,6.910126,484.427513
6.421363,0.604688,275.384883,8.189759,8.189759,431.427789
9.216373,0.835242,317.136457,34.768553,34.768553,514.456980
