#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,487.385769,0.000000,0.000000,97.309513,31.630573,0.282997,608.851212
0.000000,0.000000,472.353541,0.000000,0.000000,101.098447,33.858199,0.021448,597.526947
0.000000,0.000000,470.384235,0.000000,0.000000,93.052431,31.811095,0.269083,600.969958
0.000000,0.000000,467.658467,0.000000,0.000000,89.662609,31.386090,0.020668,601.159300
0.000000,0.000000,470.791455,0.000000,0.000000,87.333272,31.485305,0.249667,605.383809
0.000000,0.000000,470.074419,0.000000,0.000000,88.204991,31.283649,0.018222,600.495088
0.000000,0.000000,471.238654,0.000000,0.000000,265.751305,118.915101,1.820944,607.430099
0.000000,0.000000,483.332405,0.000000,0.000000,91.274860,32.937318,0.276706,619.759388
0.000000,0.000000,475.124731,0.000000,0.000000,92.238070,32.237583,0.025828,597.644773
0.000000,0.000000,482.421108,0.000000,0.000000,92.925961,35.632601,0.260511,602.714608
0.000000,0.000000,469.898527,0.000000,0.000000,93.780329,33.256276,0.249805,590.940667
0.000000,0.000000,471.127375,0.000000,0.000000,94.734573,44.877833,0.030831,861.168766
0.000000,0.000000,960.780319,0.000000,0.000000,90.485307,36.678998,0.281797,1093.532201
0.000000,0.000000,472.609576,0.000000,0.000000,90.161423,38.557262,0.044959,598.791894
0.000000,0.000000,469.356567,0.000000,0.000000,91.449487,39.035015,0.248716,599.279767
0.000000,0.000000,479.156006,0.000000,0.000000,94.833664,38.832424,0.051953,607.615500
0.000000,0.000000,470.908057,0.000000,0.000000,114.837362,35.906752,0.351733,611.753072
0.000000,0.000000,469.094455,0.000000,0.000000,94.398954,38.462894,0.422205,598.049082
0.000000,0.000000,466.366621,0.000000,0.000000,102.360090,41.468695,0.040282,611.017483
0.000000,0.000000,469.430880,0.000000,0.000000,111.139212,43.212879,0.255595,601.536476
0.000000,0.000000,473.484969,0.000000,0.000000,111.834808,86.479902,0.330647,609.663555
0.000000,0.000000,470.021935,0.000000,0.000000,100.304397,41.065018,0.251175,622.673879
0.000000,0.000000,481.676786,0.000000,0.000000,102.203465,39.172932,0.039470,616.360616
